500 2500
33 50 19
196 238 63
437 384 59
85 172 25
168 191 54
275 368 56
442 380 9
318 295 79
390 424 34
282 352 83
140 18 87
294 487 79
36 82 100
73 224 2
383 484 51
105 17 69
446 440 40
276 447 36
411 413 75
371 383 88
38 222 63
3 177 47
387 320 78
413 314 41
52 177 66
374 464 67
299 294 36
385 480 87
58 165 12
269 434 60
58 166 49
110 64 53
416 441 39
133 68 63
406 469 45
116 83 10
276 450 26
207 58 42
9 186 53
219 204 91
352 295 91
261 477 70
464 456 34
311 400 63
281 282 10
318 428 23
104 94 13
453 313 41
137 239 23
316 494 99
49 79 64
285 373 11
74 87 27
182 196 32
418 292 50
478 474 96
447 263 34
126 9 57
281 414 10
484 309 66
170 173 77
57 188 41
269 324 70
274 307 36
32 205 73
29 133 14
125 102 29
419 281 1
20 214 85
451 482 26
29 8 56
228 27 37
460 425 51
325 466 52
430 450 92
341 344 70
5 234 38
270 454 91
293 375 57
258 284 55
188 161 80
4 241 44
466 424 95
119 99 49
424 423 33
174 1 24
428 346 16
440 299 78
160 53 17
286 392 71
77 217 43
365 378 32
325 305 17
17 198 64
153 165 74
350 466 14
140 211 78
483 320 7
327 392 3
256 337 42
436 376 46
421 324 45
57 107 18
61 132 55
165 33 25
425 411 13
490 481 28
465 471 66
302 400 41
388 296 93
279 314 8
18 144 60
131 235 12
58 16 29
243 187 13
30 8 34
109 28 93
462 279 22
386 389 45
110 177 19
442 316 99
14 86 26
432 348 66
276 356 36
204 171 27
273 465 62
319 466 68
457 482 90
369 444 33
85 194 30
134 64 56
148 86 26
389 303 30
407 253 98
381 258 93
408 358 14
442 276 6
29 99 24
37 66 78
318 476 62
436 305 11
47 71 94
421 259 81
422 340 11
413 444 55
96 166 83
75 64 97
19 177 45
346 397 33
20 196 6
312 337 48
8 85 85
115 83 55
347 338 9
222 87 64
60 230 27
145 217 96
498 396 58
179 74 48
400 444 28
464 417 62
339 281 16
46 37 56
3 104 88
341 478 69
346 344 90
477 400 16
26 151 80
34 141 85
262 444 33
162 148 71
169 237 64
82 226 79
394 303 21
448 427 65
186 35 81
311 414 52
417 331 52
369 262 40
325 491 95
240 120 50
443 258 93
248 77 93
60 164 83
276 388 77
54 219 98
207 51 52
190 217 40
68 22 11
394 344 25
4 48 60
109 211 5
207 61 58
154 129 88
468 352 58
108 188 53
101 216 33
222 62 28
68 186 64
402 330 97
70 105 27
432 411 21
76 65 99
462 377 64
145 10 97
171 143 67
333 399 36
443 416 97
436 274 23
447 322 52
405 449 61
51 17 91
408 390 94
324 450 22
165 60 37
119 149 95
161 36 30
438 284 29
476 338 39
245 108 96
418 306 41
220 176 14
274 467 77
362 342 97
66 137 97
221 203 59
51 204 34
1 32 24
439 297 53
281 275 69
32 41 32
203 23 84
375 380 35
410 488 92
51 130 33
140 150 35
368 411 58
354 281 73
381 417 42
209 92 99
215 158 49
458 448 1
345 400 82
374 273 50
413 250 56
133 62 4
397 309 44
362 303 90
485 452 55
210 72 38
142 102 23
55 182 76
172 184 10
190 244 77
148 122 21
499 356 77
31 203 50
261 362 53
15 121 2
477 290 88
201 24 47
399 405 9
41 198 46
345 410 71
150 226 25
86 32 52
403 385 62
78 85 51
497 492 50
21 113 69
336 257 58
437 479 22
308 301 37
417 256 8
102 153 48
396 335 43
369 373 31
274 480 99
13 46 94
185 234 25
94 57 93
292 340 74
241 218 11
396 393 77
364 471 23
42 150 45
103 76 34
165 147 96
467 361 26
338 281 72
445 416 11
237 114 78
92 238 2
358 448 97
11 50 60
132 56 71
333 337 95
297 251 80
243 192 97
345 379 64
99 36 3
118 244 25
37 179 71
128 164 26
414 355 69
175 126 80
122 109 85
304 368 20
393 346 39
197 9 7
486 429 73
5 97 45
239 216 32
