5000 25000
994 2107 74
1659 994 95
3929 994 54
779 3929 36
4721 779 29
1246 779 39
4508 994 72
290 1659 56
2395 2107 49
2074 3929 100
1042 3929 12
2267 290 5
4481 2074 30
4376 1042 81
4055 3929 5
4985 4481 59
682 1042 83
2221 3929 33
3355 2107 50
4549 4721 44
4590 2395 36
2791 3929 26
2822 4055 90
3584 4721 14
4865 682 58
4234 4865 47
1204 4985 67
723 3929 22
4095 4985 70
4586 4481 42
1717 4481 86
3500 4721 98
244 2221 97
3945 4590 70
2362 3929 9
4158 4590 16
2210 2822 26
4981 682 58
275 4481 58
2421 3500 72
2841 290 84
3890 723 3
4976 1246 27
3065 4721 41
582 4481 14
932 4976 10
2357 2362 48
154 4721 52
4111 4095 58
4605 4055 90
3977 3355 22
1708 4586 31
3765 3945 95
3777 3929 78
2916 779 59
4929 994 39
3274 3355 64
3773 2221 49
4469 4929 26
1963 4586 86
853 2841 100
1194 3765 39
2594 1246 55
827 290 60
2770 932 56
2954 2770 82
1462 2267 85
3076 827 90
43 4111 42
1936 4158 13
3391 4549 82
4932 3065 98
3856 2791 13
2084 3274 87
2124 2822 82
3661 4590 28
1790 2916 2
2366 4508 50
3719 994 12
4904 4932 7
1408 4095 28
1525 3719 56
1871 2210 35
3229 3890 100
2181 3890 76
4446 4376 77
1423 2107 85
2751 582 18
1195 2124 37
1918 2084 34
2999 4508 26
4902 3977 11
2369 3945 85
4592 4234 87
3199 723 26
2150 4234 13
3581 4981 10
578 2916 58
828 2074 94
4182 3856 78
265 2107 33
2816 1204 29
3034 43 91
4933 2822 38
2965 4981 90
3867 3584 95
4999 932 83
4221 4932 32
4760 4481 53
3920 723 30
1364 4590 37
2435 3274 5
565 2999 85
963 3945 22
2452 2210 81
493 4902 35
331 4721 85
2866 265 93
2634 2841 16
4800 2357 35
3408 4481 54
3006 2107 24
4212 853 32
3716 1042 43
4688 779 81
2652 1871 80
1290 2751 69
505 4976 8
3037 582 87
1229 3777 85
2183 3584 93
3957 2421 76
1019 3856 27
4005 4981 24
174 505 45
1685 4800 24
3485 3034 81
592 3199 66
1907 3890 61
2574 3408 43
2669 2822 47
531 4932 95
3853 3929 99
613 3485 37
1483 1871 42
2583 2669 80
4716 1194 24
772 582 76
935 1204 52
1075 174 72
2838 3408 61
2968 2838 82
865 3661 1
4117 2816 82
3349 3661 26
3939 4592 65
2879 3408 17
1455 2074 12
4611 1871 18
4345 1659 28
1603 2594 31
4801 613 29
2307 2669 24
3114 4446 40
1370 2395 92
4753 4481 60
3344 531 12
492 290 64
4706 3114 72
126 1936 10
4597 3890 72
4850 1603 32
3388 1204 100
749 723 12
4474 154 26
717 3344 27
165 4721 26
1769 3773 86
3062 1229 52
2146 4182 12
4296 1370 67
2248 2669 88
3477 1659 46
1760 1455 23
1780 4221 83
1185 3065 100
2812 2421 29
2865 2307 16
1596 2107 27
4488 717 9
2963 4212 44
1934 2267 79
621 2150 6
1779 1780 25
279 531 97
377 4976 87
1940 1685 29
325 2963 32
4974 1871 96
1339 4592 55
4310 3939 22
1932 4800 99
1586 1462 68
1634 3661 23
641 3485 100
2338 1790 5
1711 1195 55
1176 4158 27
3364 244 44
3327 2267 20
2199 4932 45
1691 1717 77
885 3584 73
4726 4688 88
4571 582 41
3971 4850 59
3811 1934 97
1104 4182 42
1078 3716 22
2275 3349 22
2045 2124 97
2054 2968 54
1677 244 15
316 779 76
4213 2248 21
4996 4005 14
2242 621 51
2445 4999 7
553 3485 4
4236 3929 32
1738 492 1
4482 3349 3
2407 641 39
3115 325 11
4208 3811 29
1587 994 96
2966 1934 63
4306 3199 90
3284 717 76
4430 4345 73
4462 4999 62
1268 316 58
3080 4488 63
3005 3080 81
698 827 58
4576 1760 68
1367 682 33
1271 4985 52
4757 1290 50
