2000 10000
92 412 18
215 92 34
1192 92 66
244 92 63
1471 215 84
74 1471 73
1440 1192 36
733 1471 32
1872 92 53
914 1192 11
214 733 49
1415 1471 85
266 214 44
1850 74 85
686 1850 25
923 215 25
1738 412 75
731 244 8
1259 1192 24
1331 1415 4
597 1440 31
12 1259 48
798 731 48
1218 1872 37
1024 731 94
1056 914 16
1775 1192 10
497 1471 68
784 1775 7
309 12 2
1900 1192 9
306 92 7
1265 244 74
1292 686 9
459 309 48
127 1415 78
1838 798 42
835 597 38
822 497 11
804 1218 44
756 1192 57
1246 804 93
286 731 37
1465 1024 6
1982 804 3
1009 923 100
307 215 62
1755 835 37
1288 1738 60
1478 1288 4
903 412 25
800 784 94
1256 1471 37
1423 1256 1
1986 1478 19
607 756 98
1905 1259 23
1752 1440 48
1582 1423 16
1956 92 20
1616 459 21
1904 307 36
562 1471 79
235 1259 3
1498 1956 37
1946 1850 71
1586 835 67
1020 1024 90
904 1982 71
179 1582 39
1410 1009 49
1767 731 87
1952 822 87
239 1331 72
1155 1246 10
1235 1265 5
212 412 45
754 1755 70
839 1752 20
1763 235 39
1198 1763 84
1885 1265 69
834 459 62
634 1586 33
950 1155 37
1051 1020 42
268 1288 26
1898 309 1
47 1738 99
1371 1582 88
1422 1256 96
704 1478 85
1045 950 94
1034 1218 61
878 235 97
706 1900 10
968 784 66
289 215 41
1382 1024 34
655 1752 64
319 1009 86
1411 1292 52
1795 92 5
1565 1288 79
1311 733 23
977 1946 85
894 1198 52
986 1423 85
417 12 5
24 1246 27
53 1565 86
1414 878 22
1186 1478 38
1025 1034 8
447 1265 72
1241 1763 13
124 1422 96
1237 1411 34
445 497 97
1247 822 66
763 412 37
637 1051 68
858 894 60
169 1034 68
855 459 5
964 1155 79
928 124 36
202 74 10
952 784 13
1737 1259 90
173 1767 78
1298 634 100
1870 1020 93
439 1009 40
1803 1755 48
1217 127 32
1692 928 71
510 1956 31
359 704 78
1030 1056 31
1127 1009 92
818 1904 52
1432 244 42
1546 1292 27
1090 1051 63
648 923 44
60 733 30
1377 1056 56
1219 834 85
1840 822 62
1730 309 46
557 1465 17
1961 1009 33
1483 1411 15
1628 1382 56
728 445 29
499 1767 88
572 1885 72
383 1432 75
1884 212 40
1174 1377 35
1145 1738 48
1597 1961 99
513 754 37
1457 1982 61
999 1192 92
1156 1884 37
771 914 99
186 1056 16
1107 731 88
1346 1870 21
1669 53 15
705 903 93
1740 1946 77
539 266 37
1398 47 61
1772 904 59
568 705 67
993 952 45
912 1900 48
1392 439 61
1742 1410 66
863 904 43
210 244 24
1033 705 8
956 904 2
1784 92 81
680 307 79
1182 597 96
1622 1045 12
1537 648 31
303 637 43
1261 513 40
1123 1265 28
137 1346 72
1012 839 68
1121 822 97
180 754 99
201 956 10
1211 1457 92
1637 1192 57
599 1422 21
1975 1192 85
140 235 84
1138 855 1
279 1198 14
1643 1772 54
136 655 50
1684 1742 41
1788 1123 45
1084 1737 97
1655 319 34
1578 1669 44
930 1537 33
1310 1261 16
1283 1946 6
777 1298 66
11 74 80
953 1900 15
182 1755 36
1071 1398 28
1381 1730 13
1162 1084 28
164 1975 44
1569 1020 68
739 124 29
1517 1655 86
603 266 16
1040 1763 3
1771 1457 11
1208 1478 64
530 705 26
698 1423 84
649 1772 25
803 649 13
1456 698 47
1061 74 28
1135 878 94
516 1775 7
684 1517 67
1596 516 82
434 1174 91
856 648 1
111 686 69
1505 771 70
125 319 52
1583 1237 86
897 1775 41
1115 1898 15
966 649 63
1225 950 22
667 1256 1
1800 53 66
1380 684 100
418 202 89
1925 855 19
786 1414 58
1201 1803 77
1441 1505 21
595 1900 67
326 603 4
335 12 81
555 1311 30
1164 136 3
944 597 34
1490 1398 5
1693 1900 66
768 1051 83
1037 597 77
1782 127 69
1611 835 72
891 835 71
1749 555 37
1094 1767 49
1313 1788 18
451 968 50
608 1423 2
185 1174 83
629 1961 97
652 412 50
325 1311 34
970 210 76
1357 1684 5
1910 1292 93
265 728 31
61 1850 96
1541 326 99
114 956 47
1099 1155 75
844 839 49
659 539 52
1785 1498 74
432 279 39
1807 856 20
493 739 77
1266 822 28
1990 966 50
1199 1795 1
713 1441 11
767 1155 1
1656 92 73
23 1596 28
1401 771 70
697 23 48
154 1441 55
249 1162 47
387 1164 88
654 1331 28
175 1237 52
1647 447 29
86 1107 32
1668 1107 81
1984 904 84
40 1900 18
1760 1237 84
1214 706 97
1336 306 86
793 1237 7
529 928 66
348 798 61
1188 1045 34
1979 1313 92
192 445 12
372 513 76
617 894 29
819 652 38
1729 1578 17
1223 192 83
1914 513 57
487 713 76
1623 326 77
1882 1456 25
1302 1266 8
1911 1188 67
389 1578 69
1636 756 79
1002 212 44
366 1623 40
1508 1760 30
525 179 28
1120 891 13
133 164 87
462 1850 56
1858 822 61
1678 1410 4
1524 1208 87
1516 417 77
1638 1772 20
653 1678 24
1739 1737 94
489 1636 5
427 1115 64
1866 1246 48
1356 348 23
1296 1432 65
1006 1739 11
1418 447 70
1703 1009 87
1136 1356 69
1229 834 96
471 1311 99
1854 244 35
1954 903 20
544 1356 26
1036 1578 41
77 648 38
1736 40 89
1038 1637 15
811 530 39
1570 914 53
1691 1061 88
1184 1266 82
1712 1961 17
1753 731 44
1615 23 73
64 1311 66
96 1668 27
200 863 23
1566 266 94
1169 754 16
1503 1669 48
650 412 84
955 1377 77
1306 1381 18
1649 1410 93
299 793 25
1877 1643 46
802 1002 63
1555 1392 29
671 1033 41
123 1752 6
815 1703 7
231 856 35
876 1946 37
1825 1288 51
193 1410 41
829 1310 33
1548 11 88
250 299 33
1295 653 5
435 497 9
810 1465 49
782 1313 64
1424 1225 13
900 96 80
178 1692 5
765 266 30
390 1730 42
1851 1825 20
311 1422 100
49 1411 59
668 1565 26
710 858 28
156 412 2
1059 1555 45
386 1229 72
1716 372 72
589 1900 19
33 648 63
726 1084 13
1759 1569 87
1890 710 37
1157 876 36
110 1740 7
592 451 58
948 904 75
187 844 27
661 710 22
1929 1422 64
1409 1346 82
1035 1051 65
1609 1838 12
206 1503 42
1008 1423 33
1460 829 36
910 956 59
1243 1020 37
887 1266 62
813 930 100
1085 1716 51
45 1890 69
316 706 87
1273 1283 13
1778 1703 17
1658 1763 5
1349 1979 72
73 1136 90
1584 1423 33
225 1218 6
21 1584 33
291 1498 54
211 439 45
1323 822 31
199 1838 46
1912 599 70
1797 568 25
72 193 12
1619 127 21
1430 1729 3
1627 1382 76
196 1753 37
139 1295 27
1892 1524 19
1445 811 50
83 1692 73
1646 1775 57
315 968 61
605 1884 73
384 1261 25
864 1975 90
59 225 71
50 516 65
197 914 84
1137 891 87
1355 1975 68
82 50 94
1152 1283 34
969 1265 21
1553 86 100
666 771 27
1754 1008 22
1671 1716 51
1915 608 65
1810 47 83
1686 1380 30
996 1059 86
466 196 37
941 1371 100
1660 1772 32
523 1283 30
1032 713 52
695 1061 8
380 1956 32
479 810 64
1181 1256 53
1350 1749 32
14 1759 3
1518 928 48
1811 1753 74
1489 955 77
1364 970 75
