500 2500
96 179 22
472 96 63
55 472 62
369 179 8
306 369 24
430 55 36
163 55 73
92 306 18
228 55 85
63 55 40
439 306 5
443 228 11
270 179 78
12 472 24
481 306 79
223 481 6
277 430 61
419 439 24
59 277 55
27 179 21
101 443 4
299 223 90
84 55 31
14 96 2
412 179 74
157 163 44
33 179 92
459 223 78
298 306 89
68 223 22
89 299 21
398 443 85
151 163 36
321 68 92
17 443 25
370 68 67
116 12 94
367 17 6
174 163 69
280 14 96
186 270 73
47 59 34
115 430 86
382 17 8
376 27 72
240 228 47
282 472 31
204 63 43
445 439 97
130 12 85
424 299 69
465 92 14
322 472 79
405 33 82
292 398 56
57 47 99
83 27 68
13 55 55
169 179 56
366 115 68
279 179 35
303 169 28
185 204 77
146 322 9
74 146 6
10 92 26
258 13 94
66 204 53
496 17 1
77 430 100
79 398 78
42 465 48
72 10 41
3 459 9
377 299 6
239 443 88
201 382 78
317 398 60
269 42 44
131 55 34
34 130 1
76 412 64
368 116 13
252 84 41
94 66 62
422 83 27
386 13 71
173 472 99
453 377 18
117 279 54
341 186 79
493 77 94
364 443 5
88 179 63
483 240 96
248 472 60
387 496 57
198 387 46
478 66 21
466 116 50
487 270 4
344 270 32
449 151 19
165 449 80
499 17 6
284 59 86
426 405 99
484 499 3
425 321 100
230 317 50
164 130 92
219 27 37
352 10 77
421 465 31
225 481 67
114 472 32
353 248 45
124 151 97
65 341 80
28 499 27
147 370 32
379 364 91
488 321 35
36 364 11
329 472 55
441 317 91
396 77 49
458 269 10
221 12 75
200 151 42
15 79 42
97 284 19
342 63 35
46 280 72
312 280 17
255 424 95
400 163 74
266 28 99
70 321 35
170 76 5
334 57 38
199 74 5
99 400 18
406 366 71
48 72 26
256 317 52
104 163 87
159 179 70
167 198 64
327 422 81
224 96 52
288 92 86
45 367 95
304 15 81
380 151 78
274 380 14
166 48 29
305 173 45
337 342 67
388 33 68
410 334 10
229 412 27
346 57 45
350 47 10
331 223 59
428 459 66
172 317 85
309 367 57
4 72 55
19 223 62
81 337 13
53 327 26
340 255 41
272 321 61
213 386 2
67 493 76
216 198 30
126 322 90
263 353 85
354 272 23
6 74 11
399 410 93
139 353 93
148 483 11
297 48 37
86 204 81
492 412 15
109 364 69
9 65 4
460 65 100
328 459 64
61 225 44
290 317 36
1 92 46
107 439 43
267 379 13
463 304 6
40 280 41
356 369 68
91 255 99
155 63 67
401 42 94
212 225 61
98 399 71
217 369 3
271 421 34
434 92 16
191 17 80
203 14 95
318 328 33
414 443 2
498 148 91
141 398 23
87 12 50
105 424 53
41 399 100
143 453 56
26 263 57
409 57 86
150 212 11
156 410 50
243 150 43
261 386 47
247 421 76
384 247 27
300 317 69
78 68 14
231 322 39
276 466 54
461 367 1
363 240 28
90 258 43
100 453 24
397 157 39
264 200 59
128 331 6
431 264 38
108 26 100
93 130 64
242 256 75
145 493 4
404 284 86
249 258 5
64 72 63
236 55 74
294 74 61
205 370 74
361 97 80
275 369 91
415 216 39
119 27 79
175 366 56
394 213 57
326 340 76
420 231 60
220 377 10
235 164 46
462 493 66
338 76 4
281 248 52
129 93 89
408 276 10
37 318 35
345 6 3
190 331 77
395 463 25
5 185 59
162 219 93
494 229 4
457 472 96
479 493 18
349 275 61
52 114 37
273 162 59
295 67 41
435 46 29
183 459 86
432 119 25
227 309 74
486 216 67
102 4 34
0 488 53
144 414 15
132 329 61
358 247 12
85 57 10
245 92 84
467 79 56
320 338 37
315 172 32
437 139 36
138 264 32
480 46 9
413 126 53
378 364 20
44 413 21
452 63 54
177 1 64
289 462 90
154 434 55
21 148 47
475 297 72
427 204 82
383 255 3
313 96 10
16 63 85
32 379 16
137 93 15
244 480 94
194 398 94
390 377 64
127 483 17
389 119 77
330 101 53
442 229 96
373 404 20
402 173 6
250 299 33
181 1 97
260 88 33
121 191 56
39 493 35
182 169 86
125 130 15
339 16 61
113 124 8
482 37 31
211 386 43
411 198 91
446 404 76
161 129 94
207 116 16
58 64 58
95 191 26
433 363 1
134 108 43
423 404 7
38 349 49
206 404 65
196 213 79
180 53 86
444 48 100
69 260 60
418 252 43
348 14 40
448 248 86
357 47 68
176 250 58
8 350 45
56 400 90
468 13 45
286 169 65
416 240 19
365 52 63
111 249 78
209 493 89
319 93 21
226 98 20
253 352 24
307 146 36
31 442 4
310 460 26
237 161 9
477 263 60
451 227 85
287 344 73
51 90 45
7 357 35
440 88 40
75 477 58
438 245 8
106 84 63
197 441 42
60 108 43
73 69 34
184 486 3
450 52 56
491 328 36
454 76 37
343 395 36
351 320 20
153 269 23
497 156 86
316 384 93
241 307 66
30 172 4
473 105 76
333 322 66
123 442 49
485 460 58
35 65 91
335 146 36
254 229 78
160 239 56
24 101 85
192 21 47
323 129 20
25 56 57
262 144 8
308 52 26
392 297 26
43 277 59
152 307 50
110 33 10
372 150 94
385 424 43
135 343 86
374 350 43
311 119 63
474 402 31
336 330 65
11 151 77
246 365 92
20 86 25
347 52 82
80 475 39
302 242 46
429 227 59
82 445 100
257 185 95
71 123 5
210 390 5
360 284 24
455 418 39
142 382 71
118 339 64
122 179 40
251 399 33
149 408 35
314 63 54
23 15 53
391 494 76
259 333 55
18 348 38
296 143 45
325 428 48
54 350 50
436 111 96
403 320 25
193 91 54
49 472 71
187 409 95
471 141 7
355 92 45
218 153 95
375 7 13
103 184 68
29 15 13
489 412 82
168 157 54
133 270 11
301 192 7
202 317 78
285 219 93
50 479 16
214 286 74
464 292 85
283 134 5
120 163 49
158 144 19
189 75 87
393 36 44
324 110 36
233 75 61
234 423 97
476 177 46
136 494 98
222 219 38
407 484 71
381 79 59
417 439 21
112 435 91
188 352 26
469 100 40
215 76 75
171 360 96
278 374 43
291 299 90
140 169 16
470 483 81
232 8 93
268 176 31
208 109 79
359 222 61
447 35 14
495 263 22
371 127 1
490 390 19
2 442 35
22 459 39
362 6 16
293 292 91
238 172 90
178 78 43
456 244 37
195 326 61
332 446 47
265 29 92
62 129 86
171 165 50
119 346 78
103 459 24
111 65 50
370 46 71
112 289 38
464 53 31
499 22 86
243 356 17
248 284 21
397 309 37
306 420 79
29 363 46
180 118 100
6 244 75
361 98 58
19 150 16
89 177 12
185 451 11
496 211 49
287 229 22
431 245 25
95 15 62
298 438 17
433 359 70
33 105 63
260 428 52
494 208 90
380 26 15
262 315 96
455 492 100
19 1 87
484 163 45
319 447 63
439 450 73
186 18 3
182 233 67
288 107 90
393 213 22
52 21 46
39 130 47
28 386 64
322 339 63
164 74 25
104 483 81
431 130 2
414 274 38
299 312 51
145 449 20
62 65 21
194 161 51
276 399 92
215 153 76
199 201 88
46 159 58
478 331 62
491 272 69
278 416 30
378 215 13
209 267 40
158 472 17
16 395 37
351 401 71
305 24 66
241 377 93
135 469 25
326 397 16
477 144 37
336 267 22
438 407 34
139 235 87
253 17 39
99 173 25
356 52 7
407 87 8
481 459 65
124 420 61
483 377 23
471 84 6
21 65 77
4 233 12
395 187 11
151 160 96
150 474 24
377 165 5
81 13 75
76 487 85
427 299 24
485 274 41
303 430 27
154 452 94
365 90 42
313 203 76
226 12 74
300 82 65
345 421 66
17 394 7
315 347 81
410 392 100
168 231 37
296 151 9
8 229 66
80 304 55
393 45 81
456 497 55
98 22 44
393 425 91
491 270 9
369 228 57
179 235 35
273 83 60
347 339 19
135 29 31
469 372 69
413 42 86
73 84 38
486 30 88
407 344 36
302 319 61
286 179 1
349 75 23
181 442 52
354 319 23
353 199 51
115 183 48
127 398 36
43 314 10
403 453 62
299 301 90
106 42 48
329 135 71
247 352 57
402 334 28
31 335 18
79 142 46
55 483 61
475 306 84
254 183 11
137 219 24
148 132 33
459 179 36
55 21 75
218 250 8
249 4 91
271 326 44
157 336 68
213 209 2
246 203 64
448 106 62
83 93 43
89 6 61
73 481 43
58 216 90
347 428 80
126 295 56
342 402 12
424 12 61
114 446 40
387 320 52
416 467 32
159 6 49
438 313 70
104 322 82
84 103 90
130 381 38
103 137 95
285 69 63
457 318 67
432 393 65
333 201 100
376 408 76
420 476 24
494 189 23
400 6 45
219 18 46
182 157 87
287 207 84
198 398 8
41 407 71
296 117 11
341 151 57
362 116 8
157 489 67
350 411 24
273 367 31
349 180 24
242 184 49
303 161 40
108 270 8
23 135 37
202 404 85
177 103 14
22 9 93
24 286 31
85 21 72
329 347 20
324 447 13
28 173 96
381 334 24
385 470 75
494 73 13
402 298 18
445 92 95
49 244 18
338 421 4
28 22 11
379 459 30
339 211 61
48 200 55
1 244 93
131 178 77
167 478 62
382 102 43
444 130 32
105 135 50
374 181 70
260 426 94
153 474 20
83 66 79
120 238 44
351 76 59
193 126 79
473 31 3
485 373 54
340 91 45
302 440 39
206 228 5
65 205 78
192 474 40
459 468 62
277 485 8
441 227 86
49 302 29
14 171 82
312 179 23
325 177 24
254 136 84
392 30 69
468 52 47
248 189 23
457 377 44
258 409 19
402 296 72
235 72 82
280 475 86
77 346 10
178 253 61
49 481 64
435 357 26
492 178 75
