5000 25000
1582 1142 68
1 146 5
3320 4501 74
1578 555 48
2916 3713 70
3906 3122 48
2105 594 69
1254 2470 37
2624 3579 75
2402 2026 8
24 69 89
3464 3652 39
3712 4570 74
1776 630 71
1250 347 67
2175 2068 98
2016 1918 41
4333 3828 92
1843 128 56
2108 1139 48
2010 2400 23
696 2318 42
2665 4569 60
83 254 16
575 2359 26
2553 4347 23
490 522 22
1874 1778 20
2092 424 28
4704 4086 24
3045 3899 22
928 166 18
109 85 93
93 1057 86
4333 3918 65
4142 3980 22
1058 1520 15
3755 3307 2
3215 2978 2
3485 2747 1
1546 220 8
4019 3804 15
679 1056 51
1213 1496 18
3674 3652 27
433 1811 83
4075 2817 32
4638 4925 44
3577 4017 41
2547 4102 57
4709 3017 86
2665 2984 73
2086 431 43
706 2267 40
4240 4901 35
4635 4132 87
2087 595 82
3347 3510 1
1063 1868 68
3220 2879 34
150 1254 88
1447 1935 35
2527 3633 69
2128 47 99
1447 1135 17
3432 3348 10
4040 4554 78
1829 817 58
868 1968 7
4090 3791 7
4424 3346 81
210 2280 52
986 1401 27
299 1207 56
3697 4627 20
3824 4586 72
386 1394 62
1005 236 21
4018 3451 66
1211 1826 24
4344 4752 89
4039 2645 56
3053 3034 2
113 346 60
1060 1487 70
4019 3020 84
450 857 62
1 2317 89
685 1933 53
4156 3321 70
2958 4176 64
3821 3065 55
1824 320 55
784 1908 41
1579 2083 87
2267 49 55
3796 2571 68
1074 1319 40
2450 276 46
4510 4835 32
388 185 73
2356 1317 66
1771 142 14
1425 890 85
2714 4527 33
2273 1063 52
3745 3727 15
1486 1848 88
716 1421 76
3075 3517 42
2504 3006 39
2607 2932 7
2454 1916 6
1025 729 34
348 988 65
1156 1752 42
1057 2108 43
4494 2730 86
2434 2450 91
3054 4263 66
2493 1186 86
4963 3269 17
1007 1831 31
156 2371 42
151 2411 40
2012 38 57
2246 430 28
2416 2223 29
1707 1407 32
2450 1415 49
2130 1214 84
4782 4045 93
274 2006 2
2856 2639 24
1860 835 18
2911 4209 88
1187 921 38
2026 1831 15
3008 4603 89
1846 502 62
217 68 92
1032 391 54
3504 3029 95
1142 291 12
3186 2808 74
2155 337 2
446 1342 27
3341 3274 98
1865 105 47
2055 2188 55
3161 3603 50
2273 1978 85
3880 3601 34
3305 3653 35
3083 4712 44
1453 1278 56
150 590 84
2490 1104 60
4236 4385 98
2020 2458 61
908 2231 12
2424 1935 97
3644 2728 29
1168 8 24
4435 4695 33
1311 1869 92
1684 2101 97
4639 2575 6
1699 1215 65
4749 3111 68
677 1583 82
2069 161 31
4913 4807 15
3088 3670 83
3566 3340 21
3735 4030 36
345 160 81
2062 841 17
106 1381 39
432 130 40
1907 1227 74
691 1222 86
158 984 92
4063 4737 6
4725 4495 60
4233 3333 35
1478 2217 91
2485 2105 72
2690 4622 98
2402 439 61
891 321 20
1766 1133 96
2796 3332 54
3553 4228 91
786 999 28
2881 4967 30
2558 3073 2
3060 2892 67
1763 1691 54
1886 1695 7
3846 3366 86
2354 892 72
277 704 9
3594 3281 34
3827 3079 64
3870 4545 52
2047 1808 78
3022 4773 70
3786 3674 66
2077 2286 98
784 1392 45
2706 3073 73
2532 3397 55
1326 705 64
4394 4523 28
2307 277 2
1969 2079 72
3520 4443 26
1783 138 5
4476 4873 59
3993 4599 62
461 526 68
3890 2546 60
2327 461 14
4463 4917 14
1993 2197 15
3305 4690 2
3024 4471 38
1696 1996 38
3028 3055 8
3672 3209 74
2084 1939 54
2371 338 26
1678 1853 34
2803 3338 62
2102 2169 84
3067 2808 80
1350 2428 91
1343 477 49
765 2333 67
3910 3975 65
3829 4896 46
1161 1739 18
4210 4465 73
4391 4936 62
4411 2597 41
3416 4349 31
425 449 24
380 1074 32
121 872 27
4678 4492 74
65 993 92
4507 3011 73
3667 3954 19
1507 1930 82
2639 4401 38
4132 4503 85
703 51 94
3499 2838 22
4705 4711 85
348 926 61
278 919 44
3183 4000 32
3228 3391 36
3343 3730 1
1741 1319 38
2900 4412 6
308 2473 89
2614 2789 14
585 276 64
2325 138 43
3549 4810 70
336 1861 60
1517 1822 68
3928 3048 69
3877 4258 3
2876 4335 56
2595 4453 60
4621 3409 32
1135 1673 33
897 407 85
2825 4338 91
960 1294 73
1716 481 79
1435 1289 35
1659 1570 83
3518 3188 91
732 2150 16
1391 2022 2
4411 2753 19
2588 2867 21
3297 3180 26
1195 1622 66
2367 1171 54
2385 1811 72
1342 1708 24
2293 1794 62
4858 3710 65
647 298 64
1781 394 24
1143 2059 71
30 2464 40
2074 1868 27
1404 599 72
3489 4424 64
3546 2504 40
2374 364 83
1430 2003 79
852 239 28
1425 2174 17
2856 4196 12
2150 391 56
456 1624 66
1568 777 73
3125 4985 63
3366 3151 30
4174 2811 59
3238 2731 54
616 794 35
4721 4203 33
3573 4469 42
3966 2828 15
3 2124 70
4436 3917 14
1328 2294 86
4362 4264 91
3434 3627 71
4831 4309 95
3838 3675 49
2142 289 55
645 1625 77
496 635 45
3019 3725 14
2450 1261 54
4109 4838 82
2354 2492 96
3680 2863 27
1558 215 92
207 2401 64
1534 8 3
3683 4867 91
1609 1807 93
4634 3129 46
3652 3104 66
1482 765 92
840 1944 10
3304 4556 43
3295 3116 18
2043 593 53
2807 4196 100
2752 2820 36
3831 4697 89
4838 2568 100
4948 3107 10
3417 3601 98
2633 3167 60
2484 498 20
1640 2477 34
1412 1592 17
2887 3943 60
2521 3573 83
1908 2116 83
3189 3665 36
1746 301 21
414 2243 48
1973 315 95
2270 2112 91
826 1778 7
4990 4227 81
4777 2511 5
4694 4551 39
1665 882 68
1224 2440 37
868 1148 60
1678 2077 51
3989 2650 99
1710 103 57
4044 3368 73
998 828 89
3070 4046 69
1075 508 22
4395 3694 96
519 507 1
4929 3619 11
2961 4196 9
4724 3535 55
1677 711 60
3537 3478 13
1479 1559 41
4645 3611 31
4438 4545 69
248 822 23
1694 1131 4
3492 3204 81
3560 4757 86
546 496 92
707 1638 24
4998 4365 54
6 1903 39
3560 4841 40
4554 3483 25
3214 4183 5
1895 421 40
4906 2985 40
2648 4565 64
454 2490 61
4397 3887 82
4232 2629 78
3477 3657 77
746 1356 7
2898 2576 51
215 2113 63
1337 1671 10
2153 908 91
1528 1890 56
3217 4354 31
1658 916 16
4506 2767 50
2540 3821 5
987 300 25
439 641 84
1351 1642 56
574 630 39
3113 2740 65
2602 4657 26
4103 3264 58
1106 2233 67
3489 4887 44
3606 4538 31
2253 435 64
3105 4311 57
4165 4964 64
2797 3500 27
134 1767 72
1895 1000 12
2413 2436 27
730 1699 43
2742 4833 80
1374 2352 28
3142 3468 23
2802 4676 35
4146 4189 83
3936 4957 94
3915 4148 59
4870 4255 100
1266 2395 24
