100 500
13 0 43
84 50 57
33 26 22
5 28 49
55 96 33
15 45 66
98 53 9
1 44 85
59 82 27
84 95 81
12 44 95
60 86 54
15 6 30
35 37 28
35 42 17
41 12 11
88 81 26
15 37 42
23 38 63
62 61 69
31 41 72
67 64 80
32 23 31
2 16 28
88 99 39
49 34 27
94 62 43
33 7 78
89 81 13
31 27 48
62 93 42
5 0 13
36 1 50
57 96 5
61 84 98
16 13 20
64 52 87
14 40 81
15 3 49
35 20 86
48 27 31
5 1 99
61 81 91
4 32 8
92 68 17
65 71 46
39 42 94
76 55 58
30 25 70
26 40 3
14 8 24
19 27 74
47 46 31
36 7 5
2 21 32
73 78 70
62 97 45
5 32 58
28 27 21
38 29 65
2 29 63
55 90 4
98 64 12
61 59 78
32 25 52
91 73 80
45 19 30
60 91 7
90 96 4
99 96 25
97 79 82
2 7 4
6 4 87
13 35 91
99 71 45
74 88 22
69 55 36
39 20 40
20 9 23
32 38 100
63 75 16
65 94 98
99 63 66
7 8 41
5 35 58
31 44 49
77 93 57
60 70 43
61 80 7
84 99 27
17 4 8
22 29 4
78 89 57
41 13 41
42 17 68
93 91 17
35 18 96
98 73 53
32 34 6
32 40 95
79 98 71
62 77 68
14 25 24
78 67 87
39 41 71
48 22 88
88 92 65
36 39 75
95 63 63
13 30 59
77 86 57
44 32 2
20 14 58
34 43 40
25 0 5
39 40 19
3 26 41
67 60 98
99 54 30
30 39 12
34 19 82
27 7 55
0 6 96
16 24 99
78 93 57
80 74 53
98 56 96
93 96 60
9 1 56
42 15 78
19 10 13
85 65 97
74 68 92
6 30 81
27 33 84
20 1 72
57 66 94
69 60 66
83 77 34
16 34 39
62 82 4
43 45 54
8 16 94
88 65 89
46 35 68
11 22 74
68 58 42
89 55 93
45 32 17
79 78 85
8 21 90
98 68 79
83 82 1
88 66 21
50 59 24
96 92 90
51 55 94
88 54 69
30 8 22
74 64 95
47 2 63
18 32 68
79 51 7
73 52 19
57 98 55
67 82 16
70 97 66
73 86 74
87 68 23
40 34 91
49 16 5
44 11 85
84 69 36
11 42 50
12 9 39
10 29 72
41 15 69
90 84 93
62 68 70
66 85 40
43 30 4
36 29 70
57 60 90
94 85 88
58 97 83
74 65 91
13 44 9
8 2 89
2 1 93
10 34 66
52 83 78
20 18 58
47 49 35
44 27 49
28 29 22
85 93 46
63 80 21
99 50 90
75 79 11
72 75 66
42 27 46
11 23 13
11 15 67
49 24 79
71 98 77
28 46 9
60 83 60
40 43 51
61 78 12
77 52 49
1 37 18
84 63 51
46 22 88
87 82 21
67 96 73
4 26 14
87 79 71
96 66 10
77 55 73
18 40 99
74 73 71
76 81 14
82 72 97
46 45 72
38 33 97
21 17 85
22 41 22
59 75 65
36 0 16
5 31 23
79 83 26
64 99 83
24 15 40
64 55 98
29 21 21
36 33 32
23 27 85
29 4 82
13 25 87
90 67 88
92 82 44
74 91 96
4 11 89
34 42 68
20 32 32
85 95 26
24 4 7
72 70 88
99 57 96
41 49 58
56 79 56
29 43 86
23 7 75
99 89 7
75 62 6
30 12 82
33 6 7
78 86 2
81 99 90
92 97 55
73 79 86
19 11 83
55 99 51
28 49 12
12 0 19
66 92 58
60 71 89
20 31 49
97 75 89
98 52 43
57 90 36
86 67 66
69 67 92
80 90 43
97 57 23
29 31 44
77 68 91
81 64 85
80 67 11
20 19 10
56 63 8
10 13 11
77 67 29
9 33 88
17 16 32
72 74 23
83 72 48
64 70 6
90 94 84
78 87 54
14 10 83
28 31 15
63 93 90
98 99 33
97 85 27
16 43 51
79 96 53
9 21 30
24 11 93
55 94 25
88 67 5
90 92 34
14 45 40
12 43 92
38 30 42
90 54 18
45 49 82
61 55 74
17 20 51
73 71 37
40 38 72
39 0 48
17 30 20
76 66 9
47 13 56
27 37 5
40 5 40
5 44 22
52 93 87
72 64 64
4 30 95
18 21 31
98 82 17
13 9 57
87 61 69
32 41 77
26 7 51
34 24 13
51 97 66
94 70 96
90 93 32
76 52 90
92 56 66
13 48 75
63 86 99
95 94 70
43 27 47
20 36 35
41 21 5
38 13 8
17 2 66
4 2 97
17 0 96
33 48 33
75 90 15
76 91 52
53 64 56
75 94 6
53 74 86
97 66 1
43 31 69
21 3 16
27 11 62
11 39 66
48 47 42
2 44 6
93 69 10
44 25 52
16 21 98
68 76 48
23 8 43
55 52 28
65 68 82
45 38 67
19 9 39
86 94 2
21 30 32
84 56 75
63 78 43
62 71 50
14 7 80
57 80 57
53 75 96
19 42 99
14 15 39
45 40 83
65 80 9
54 57 96
73 76 65
63 98 61
60 68 99
43 33 11
6 11 32
94 50 57
95 92 67
85 53 27
91 98 52
66 73 26
96 98 1
35 26 96
9 4 46
24 17 64
22 28 8
13 18 35
99 86 42
71 74 92
96 72 28
71 58 82
7 41 32
78 74 83
71 86 51
95 52 57
51 83 30
24 36 40
97 50 38
8 47 49
64 75 86
8 12 61
8 19 47
19 38 51
96 56 99
44 47 84
3 43 90
3 39 65
46 2 99
23 24 76
66 70 46
66 53 46
91 95 8
31 16 55
94 51 22
52 58 69
19 32 28
53 55 38
14 9 63
10 3 98
39 15 59
71 87 23
10 48 71
76 92 47
85 61 4
12 23 93
69 82 30
35 8 89
51 98 42
76 93 57
88 51 94
45 6 13
24 6 58
53 91 37
98 80 27
80 62 88
11 10 30
43 19 68
33 40 66
24 25 21
44 10 41
93 81 73
3 42 27
37 39 85
99 90 61
81 72 9
58 92 7
18 26 31
21 43 55
6 37 65
62 81 72
48 43 2
76 86 84
53 84 56
36 18 48
28 42 69
49 44 13
65 76 28
1 31 63
15 36 22
32 8 21
59 81 98
24 1 64
27 22 1
99 53 46
82 81 63
57 58 86
16 40 65
90 58 9
76 74 86
91 75 91
10 33 25
80 59 53
0 33 11
24 44 75
28 43 9
85 96 54
25 4 36
65 75 74
36 12 79
13 23 58
34 37 86
79 57 68
25 20 48
77 69 53
59 94 52
44 39 34
22 42 92
87 80 28
8 37 66
74 57 1
94 77 83
18 33 44
7 28 30
