10000 50000
6123 6478 6
1884 6478 92
8421 1884 7
6898 1884 74
4030 1884 34
3060 1884 96
9671 1884 87
1510 9671 8
6127 1510 6
201 6898 36
6942 8421 22
6252 4030 84
3580 8421 95
3578 3060 50
6870 4030 7
9701 3060 10
367 6870 15
2919 201 20
7809 201 84
4241 1510 95
9160 2919 46
1591 7809 8
208 8421 11
7021 367 8
9909 6478 73
8714 7809 43
5112 9701 31
6370 201 26
5402 208 44
1207 6870 48
8265 1884 19
1452 9701 61
603 1884 25
8478 6478 96
9337 6942 99
604 1452 3
9560 4030 40
9555 1207 41
5395 6127 44
5278 3580 56
2401 6123 20
1852 5112 16
3792 201 15
7637 8421 29
8531 1852 12
7368 3792 45
8484 3578 14
415 8714 90
7799 6478 33
4374 2919 11
5570 415 39
3051 7368 45
8550 3580 64
2143 9909 14
7268 208 74
2957 6898 63
8294 3051 54
3768 4374 55
3421 1852 88
8067 5112 4
8679 1852 93
1055 6127 64
8561 1452 84
3166 4374 4
8198 1207 30
3935 9701 90
5423 6370 15
9861 8478 98
9660 6123 83
1145 3421 29
5355 3051 13
1325 5112 21
4529 8478 87
7156 9671 28
345 1452 3
4139 6898 62
9794 208 82
5804 8531 78
1793 9671 29
1800 9671 63
8325 7268 48
2199 6252 65
2513 1145 7
7655 1325 36
4173 2919 48
4784 8561 95
8298 208 33
8212 5570 14
2011 1800 28
7330 8198 62
7327 7655 80
244 6898 1
3663 4241 16
3732 8421 75
667 6123 20
725 208 83
380 6478 12
3369 4173 16
5581 3768 74
8775 1325 37
1527 7156 27
4561 8298 11
6508 3935 86
601 5570 2
964 6508 96
746 7637 17
9516 7368 67
4599 6478 28
9721 9701 46
9125 725 90
6357 5355 3
1427 5278 60
3989 601 26
6138 1207 54
7568 6942 86
2460 6127 79
5057 4173 45
7566 8298 67
7232 5570 31
4122 3060 97
5161 9125 96
4447 208 71
6256 2460 36
4354 7637 48
5434 1793 57
4718 4529 4
9404 1510 41
6916 5112 99
1767 9909 25
8643 9794 75
8406 6916 65
4197 6252 88
510 6508 33
3965 8714 96
9032 3578 62
101 8561 56
2092 3578 19
9459 5570 66
9851 4030 51
2204 7568 27
6627 6127 96
9627 5278 29
5256 3768 45
3771 3421 14
570 6627 49
5601 4718 13
4609 201 12
3923 570 47
9952 6916 44
8898 367 1
6981 7156 33
7840 3792 45
2693 9337 97
5541 1800 79
9330 4561 32
3284 3421 83
8264 2957 87
9655 4447 64
2124 2092 92
8476 3060 47
3816 5804 83
7961 8264 38
6476 4354 48
5307 6370 8
1128 7655 73
7615 1145 75
5612 8264 89
108 1055 6
808 9660 87
3552 7368 69
2297 2401 34
7373 9555 15
3900 3369 55
3087 1800 14
8135 5112 87
5479 2919 93
6136 2460 82
6007 4718 79
1841 5570 7
7920 380 68
7045 5256 84
9831 3768 66
9350 2204 51
2070 6476 18
3520 8325 64
395 4561 29
7308 5307 87
9761 9794 78
1873 244 35
9938 7840 6
7626 1884 48
8076 2919 100
7703 9330 42
6603 667 47
3314 3900 82
8829 6256 61
1992 4173 14
1553 2401 10
8204 3552 29
9414 3771 9
7757 8298 85
3595 7568 59
4049 8775 74
5829 8204 62
5399 1873 36
7756 4718 6
5352 5423 52
7704 6942 16
1345 3580 64
5429 1793 47
1577 244 65
9571 5581 77
6143 725 15
4924 9851 62
9497 3768 76
2845 9671 44
3836 7232 57
7433 9350 66
602 5402 42
2279 9938 95
593 1873 9
8924 5423 80
6805 4599 51
4713 1884 34
1031 101 87
5290 345 19
1465 6916 64
177 2693 55
1901 5161 73
8802 9655 22
7661 8643 56
2510 8264 77
2320 3923 48
668 8421 67
9500 1553 4
1037 9761 31
9924 6478 46
3131 3965 8
7983 7661 89
696 9414 64
5204 5601 28
7285 9330 66
38 7308 42
4714 601 79
9199 9032 31
7238 6916 84
376 3663 84
3775 6143 90
3221 9350 35
9750 3935 26
5296 8298 44
5963 3087 28
7136 244 96
2419 1465 99
1437 6898 93
8980 395 96
7880 1793 42
6604 7327 61
6367 6942 21
1625 7368 33
2905 5290 70
6753 603 74
8146 7703 10
4684 593 18
2384 7704 94
9584 7615 2
7545 7799 2
2867 2204 56
8900 6916 63
426 7308 57
2511 1625 73
223 7840 69
1654 3580 89
5446 1427 24
4246 3732 15
2924 5402 77
2272 5423 4
8845 7136 80
9343 601 49
6002 6805 76
8178 1510 71
1407 1031 8
7082 9952 34
9746 1767 29
2209 6604 13
3344 3663 34
6115 7566 36
9526 2401 3
9379 8135 14
4694 1437 94
8785 9516 74
8549 3595 91
465 7330 88
9156 5829 24
7889 1852 24
1096 8212 99
8850 2513 28
3104 101 56
9496 9414 64
100 5256 94
1393 7545 20
6388 570 1
3882 3344 9
2536 602 50
1353 1577 92
5218 5256 76
4828 7757 44
6033 1345 60
9174 1873 35
6712 9414 100
8175 7757 57
8987 7373 68
1532 604 89
5525 3578 93
868 8175 60
6284 601 79
3628 6284 72
6642 7308 51
3898 4828 94
433 4694 18
5588 667 36
420 2924 10
6083 1393 11
21 2320 91
5099 1992 80
5681 6712 24
1909 1527 42
2856 2419 52
6902 4049 9
4273 593 96
3416 4684 46
3054 2401 93
7938 8898 60
2304 5278 15
7329 433 57
6889 3369 32
704 1145 1
2181 9655 43
3589 8146 57
3200 101 4
2182 4241 80
8651 8076 10
9713 1452 4
1386 604 8
8249 6367 8
9184 8478 37
6397 9160 93
8170 9831 90
6640 3314 72
6415 5612 70
9490 5429 55
1089 1055 98
3322 8980 96
7755 4924 52
9530 5218 75
2301 1037 39
9383 1553 94
8195 6397 24
1817 3935 28
9420 696 58
3872 603 83
1491 3416 3
5592 9555 55
1963 9555 52
1816 3131 88
8981 3131 100
3097 746 64
3593 4049 98
6097 8325 92
2159 6508 76
7191 8204 77
9054 4374 88
1748 4122 10
2735 2070 34
4953 21 48
3390 9404 96
3885 8406 65
1777 6136 19
9499 3097 14
2963 5804 5
1359 5256 26
9604 6370 97
7418 7637 80
3573 8264 31
6060 8714 93
5272 9490 9
3216 2124 55
1408 5402 43
6919 6898 41
6392 3836 14
9111 510 1
1238 510 33
6518 2401 62
9369 2011 88
3639 9938 80
761 3060 71
1490 8714 59
9929 5395 80
6729 9861 67
8864 9497 37
1512 7373 12
8709 9671 29
2986 6981 56
8839 6367 73
6972 4241 66
4062 2963 38
4175 7566 59
7844 5057 50
128 5256 63
263 2011 56
7304 8484 7
4552 9655 14
7766 9713 77
6225 3344 94
7195 9156 41
9642 1437 13
5707 9499 44
9270 964 16
6933 1510 54
4931 9270 64
1441 4122 62
7073 8829 70
8127 3552 81
5690 1748 89
9106 1532 100
6089 3989 93
6156 6753 4
7260 9184 96
4532 1386 99
5515 1325 70
6947 1992 94
4702 4175 25
2792 725 93
4877 4532 39
7521 7304 60
6148 3421 86
4101 6753 52
2219 8212 87
9950 4374 5
9225 1437 83
1494 367 87
4033 6138 83
1364 4931 67
5113 5434 90
7448 8714 66
3383 8146 81
5663 1841 2
2655 604 55
3971 5515 64
800 6729 26
7328 101 65
3998 3383 34
8989 3971 68
5931 3573 29
6027 2957 42
7905 5395 41
1012 8406 78
792 7661 51
9014 1364 48
455 4122 17
9394 9343 65
5371 9604 51
3888 2536 36
8540 3768 89
3222 7655 44
7345 510 77
8287 3383 19
2162 7566 76
8492 2924 7
1554 1353 16
3009 9379 31
4783 9499 70
3538 2905 25
351 668 33
8105 1816 67
9400 1817 71
7611 9414 57
4507 8198 99
7492 1012 34
9013 100 89
6959 7268 54
1797 7045 83
7102 7308 44
7793 3836 97
8818 604 76
5925 1553 47
1886 9924 82
4757 8924 90
754 4609 67
6399 2735 49
3462 177 80
9966 7330 14
9566 6156 100
3927 5446 62
7496 9499 90
6001 8076 74
8261 1852 85
4495 4507 9
973 2510 5
9123 3221 27
499 7920 72
1158 8198 59
2768 1096 21
6874 1465 41
5193 1797 92
3130 2513 98
589 7809 51
5439 1532 29
6801 1553 81
3685 2957 28
4341 7799 65
3137 2957 8
2069 9174 2
334 1490 18
53 6138 70
1239 7191 44
3265 351 30
7580 4757 48
3476 7433 1
9056 208 63
4445 334 41
6233 8540 17
4350 5829 59
9597 6367 77
2703 510 18
225 4924 56
3941 9111 47
4100 3775 24
567 8146 60
3139 570 19
1010 8287 59
8164 1591 34
2258 8421 38
4252 21 93
3643 7983 94
5518 8900 9
7014 2320 49
1315 6392 29
3917 9560 14
9047 7136 24
7420 6083 95
7060 8651 67
7139 1353 29
8372 6392 84
3249 9560 43
7266 4354 52
6379 2181 4
6995 3166 83
9095 4784 57
5464 3060 11
1857 7637 100
4067 3462 69
3458 8531 49
6066 973 19
5895 7021 82
8043 2297 59
1249 5439 20
2433 593 57
6387 5581 57
4624 6143 78
6126 9497 48
2341 3104 45
2236 7156 29
1679 9499 42
5061 4374 98
4794 9604 93
4787 1767 95
6809 8105 53
1847 7809 40
6687 7328 27
3555 2272 72
9936 3885 91
6439 4122 94
1674 601 85
8959 3792 35
7001 4783 33
4264 2845 38
2981 6995 13
7618 964 6
8819 3390 52
7528 3284 66
9502 4101 48
1180 3416 35
8061 2181 12
5242 6902 18
9557 4953 60
2033 8146 17
9595 1407 87
2359 7844 17
1607 8249 92
5924 7232 45
9828 8164 73
346 1532 66
8456 7521 21
1617 9174 75
4807 4341 51
5170 6729 56
2081 4713 52
9700 754 68
3101 6370 22
5308 2258 80
1433 7704 24
48 8105 79
9743 9330 83
2945 2963 99
4016 9379 82
9631 9909 82
537 3580 66
1148 6392 7
3650 3900 8
7312 3520 27
9843 1886 1
833 8785 29
5993 6729 13
7684 5963 34
1277 6640 67
5438 3917 45
8795 9746 12
71 3314 95
4675 7905 39
1583 9032 74
5152 6089 86
7762 2341 50
5040 3965 16
7565 8249 81
1598 395 47
3061 4953 84
5367 8709 76
6788 8135 11
7850 8067 58
7247 603 68
1266 4122 31
3316 3476 34
6515 263 83
5672 6809 1
5787 2182 71
4553 128 46
9083 3685 1
8909 1128 72
9898 6898 84
9078 1800 37
4884 4264 82
4480 4175 8
9654 8981 90
7020 9056 1
7478 9013 55
1244 7045 24
8672 3421 79
3429 5612 74
9304 3555 35
8860 1963 85
