1000 5000
956 795 65
510 642 100
287 272 88
847 879 59
670 777 76
263 355 36
367 433 42
780 535 99
690 870 10
885 940 1
833 763 34
18 181 46
918 701 25
602 846 35
970 781 29
401 222 47
66 152 74
124 338 91
281 477 44
2 339 91
867 650 25
503 711 60
225 367 30
686 960 42
948 745 5
224 403 25
245 283 61
440 93 70
551 584 70
550 841 29
694 683 68
511 720 30
976 777 97
832 827 41
252 442 54
424 148 19
56 331 36
381 61 64
568 737 84
607 655 9
418 212 77
318 299 5
262 4 38
862 896 62
481 276 2
102 414 91
191 253 49
559 512 4
162 206 54
616 775 87
807 603 69
421 220 7
850 929 4
257 489 8
339 207 24
46 468 40
729 720 42
442 198 65
911 562 96
318 425 49
691 891 99
900 822 56
525 951 32
941 922 59
50 356 21
709 565 40
634 672 82
740 706 66
56 174 10
889 948 27
3 137 73
172 231 34
917 515 74
749 991 8
545 723 4
544 579 32
326 47 46
581 831 1
307 414 60
327 123 72
662 681 81
818 533 13
279 78 89
194 466 97
247 312 34
519 884 78
924 920 40
729 865 27
893 911 71
91 342 27
508 896 9
698 784 55
853 962 38
460 67 58
634 576 30
755 729 74
370 159 39
385 39 58
552 779 5
195 188 79
963 694 83
884 931 85
397 2 5
416 76 28
30 162 65
831 659 21
11 86 100
113 27 69
677 958 32
410 244 58
973 731 93
93 14 3
408 157 2
222 431 14
577 589 11
406 32 41
252 400 90
999 651 7
502 753 67
978 770 13
156 354 69
902 570 27
627 836 5
240 145 91
90 178 31
574 580 22
537 769 98
666 973 40
550 943 63
198 441 74
27 162 86
864 518 54
49 10 10
525 962 17
869 716 59
666 774 46
110 158 11
680 664 57
43 9 87
889 888 80
3 318 17
274 314 74
178 472 85
442 158 52
396 233 57
653 918 1
46 440 83
692 995 52
6 288 48
877 943 94
996 891 28
745 592 38
269 451 50
716 695 14
324 355 27
733 626 81
577 878 99
191 238 61
491 75 85
668 977 48
879 579 30
559 952 77
550 666 42
695 869 41
381 390 36
676 546 23
547 926 63
631 936 42
924 931 91
846 653 7
842 517 80
287 85 70
480 455 28
956 692 84
241 418 3
497 350 87
127 186 52
851 585 95
642 856 70
565 678 81
35 464 69
774 527 60
944 813 8
275 414 1
484 27 78
248 288 76
121 368 43
880 899 70
79 223 10
799 620 2
435 413 82
649 629 23
887 768 23
878 960 70
627 735 8
833 753 89
619 591 20
434 275 16
180 256 62
926 738 4
621 932 26
164 98 48
684 842 76
256 299 30
491 260 62
869 743 33
75 201 12
599 690 77
568 511 20
851 852 72
600 933 68
108 22 45
335 57 4
481 472 40
802 895 18
540 977 67
702 884 48
991 698 28
223 208 54
534 541 9
95 440 43
453 435 30
458 292 34
328 418 60
190 433 51
211 243 5
194 251 17
554 889 56
536 716 6
711 548 72
840 999 40
12 197 61
672 589 52
124 164 31
476 171 66
915 685 37
1 197 26
784 874 20
647 812 51
684 971 82
304 284 51
366 189 63
140 182 68
450 118 91
985 843 30
455 217 19
759 658 71
619 840 11
638 654 97
128 85 59
564 905 24
778 787 15
734 982 67
417 295 41
204 203 69
750 799 80
11 27 53
527 548 83
432 197 64
349 185 34
15 114 43
670 553 65
126 66 92
721 889 16
246 407 76
54 335 85
110 304 7
620 855 2
293 403 93
622 961 53
482 55 40
979 785 61
55 58 57
71 441 88
671 744 46
254 486 28
466 493 6
288 55 36
734 774 98
933 920 9
29 492 32
879 991 80
