2000 10000
1345 1812 29
637 277 14
689 264 24
1964 1054 54
1409 1779 95
777 519 74
1278 1887 16
410 759 96
1631 1447 73
912 735 5
875 48 58
762 33 61
103 394 42
1541 1921 6
733 351 22
446 941 38
1342 1216 62
1549 1511 76
1529 1517 1
643 311 90
408 875 93
1708 1291 82
1561 1341 8
1150 1552 44
1995 1085 56
1552 1751 41
1708 1705 3
1307 1515 38
329 400 62
308 247 69
1446 1164 26
999 803 62
233 240 30
733 781 19
203 945 66
990 282 8
70 639 95
1711 1308 68
1183 1210 27
725 602 89
701 894 25
704 493 91
336 793 63
1904 1607 9
1802 1730 2
259 524 37
1769 1122 13
1140 1610 72
162 140 5
1957 1442 47
1959 1901 13
1014 1590 15
2 294 91
898 483 98
567 983 90
65 950 95
1693 1980 42
744 752 6
1381 1329 62
1514 1860 24
65 119 72
2 989 86
1158 1927 59
126 923 7
938 251 11
1229 1724 1
813 81 96
1353 1388 76
380 705 83
70 231 22
617 412 51
496 908 79
1508 1293 61
440 545 41
772 577 72
48 931 61
494 824 81
1441 1909 68
1477 1451 76
1204 1325 79
319 750 56
1718 1356 95
1758 1445 94
649 324 53
1092 1656 70
1361 1033 90
301 968 96
196 787 64
1016 1897 76
681 64 90
1350 1728 82
1545 1531 15
305 996 50
345 634 80
870 527 92
1109 1545 72
1219 1844 97
1510 1273 99
1361 1120 51
877 717 44
778 506 16
1085 1833 64
1219 1548 16
1252 1595 97
27 273 86
1689 1612 25
978 959 82
1319 1126 34
586 157 66
881 4 20
65 763 35
1291 1670 79
940 470 8
1415 1356 88
93 794 59
949 704 75
1798 1648 66
201 423 99
1419 1344 6
344 590 92
740 701 67
1874 1678 4
679 934 26
9 113 30
538 392 16
656 997 50
70 270 46
989 798 70
1668 1251 3
80 21 9
1108 1093 30
169 477 28
1392 1337 34
572 314 71
254 723 80
872 850 92
1987 1149 63
571 157 92
111 332 85
1087 1055 56
1975 1712 78
968 946 56
598 657 91
932 14 67
1234 1669 40
1729 1779 56
37 143 5
1305 1715 6
585 31 97
1728 1946 57
850 630 42
516 599 13
1456 1480 82
1068 1194 46
1986 1233 79
202 622 78
451 362 71
128 966 100
639 172 96
1534 1281 24
1726 1842 17
1458 1951 5
704 240 90
925 595 29
1408 1927 12
828 441 19
553 232 18
189 903 28
403 814 9
1413 1877 96
366 767 60
152 54 82
228 65 24
1537 1103 97
1363 1870 76
532 237 83
1081 1282 1
1739 1457 62
