1000 5000
389 828 6
647 389 59
913 647 96
311 389 69
558 828 32
851 389 76
485 311 36
145 558 41
745 647 100
728 145 24
304 558 57
106 913 38
445 311 96
159 851 95
125 311 25
328 647 33
940 125 100
946 485 31
355 159 9
121 389 92
676 851 56
234 328 40
818 145 48
371 106 50
372 485 53
180 485 8
801 818 41
354 851 28
268 371 76
586 106 76
841 354 24
524 371 44
134 311 12
632 676 40
7 828 53
835 745 85
184 946 35
529 145 94
692 745 19
924 524 37
669 7 98
732 913 88
337 841 58
403 851 69
885 647 16
794 311 17
137 529 85
944 354 96
151 445 70
886 558 99
414 137 36
351 180 52
717 371 74
173 851 51
77 841 70
258 311 63
853 913 46
223 134 11
952 717 19
517 106 34
631 268 77
350 304 42
6 180 87
813 121 77
842 354 51
113 732 43
871 7 57
478 125 77
326 6 95
845 223 2
570 940 100
795 350 31
438 728 59
226 371 29
719 414 93
368 106 75
112 258 28
644 728 40
207 676 42
82 311 58
697 669 37
281 159 37
238 389 24
2 7 63
107 113 32
571 337 40
64 137 66
282 389 39
583 924 68
515 64 67
283 403 55
763 571 52
56 885 39
167 529 86
787 571 63
660 570 13
987 795 45
854 647 56
453 952 2
412 351 15
567 355 55
100 485 99
261 282 91
802 924 93
868 944 1
908 745 80
643 763 74
678 851 65
88 311 20
721 403 84
653 940 82
334 282 20
705 717 20
783 745 36
761 868 47
757 795 65
398 159 2
764 234 49
346 125 100
163 868 26
825 125 14
740 234 96
534 908 26
313 757 93
564 82 29
756 647 31
793 794 42
156 647 64
546 676 32
951 764 5
274 783 34
435 258 53
272 586 43
603 835 78
126 717 25
895 603 30
269 371 7
11 653 91
914 258 86
396 453 73
74 6 28
141 137 26
572 801 32
204 371 28
418 745 54
66 603 19
927 313 96
436 204 22
142 173 52
406 885 52
147 524 29
963 436 32
996 583 64
496 940 46
202 845 50
809 996 1
301 337 95
617 113 73
905 854 55
869 721 42
451 351 43
747 885 87
563 163 24
382 924 82
162 558 19
67 234 49
666 261 68
658 570 86
891 853 77
976 485 100
974 818 99
543 258 89
205 905 20
971 67 72
317 121 84
954 7 8
684 125 33
509 828 8
501 871 87
965 660 7
798 272 62
799 952 80
733 913 7
433 563 74
290 304 34
779 756 69
823 134 65
528 11 84
907 337 62
285 851 4
122 974 54
72 337 79
837 705 50
271 854 87
94 142 24
945 435 58
237 745 20
899 996 25
840 692 30
604 945 45
590 496 99
37 106 70
165 891 11
817 940 68
601 529 12
574 954 100
498 346 42
97 11 79
956 202 88
796 517 67
797 282 4
834 813 22
327 946 64
413 88 13
42 113 8
911 100 38
874 6 52
303 632 10
888 107 9
425 529 91
378 371 36
499 202 8
324 813 71
595 7 20
374 100 1
462 874 35
250 987 43
522 793 45
852 498 84
507 886 67
641 499 97
725 885 87
600 223 25
902 643 81
49 88 28
175 389 89
784 546 33
458 113 53
879 281 78
157 528 13
538 378 8
63 451 2
850 451 39
555 534 57
988 74 87
314 282 83
806 107 15
27 175 98
158 555 94
447 173 15
536 601 24
521 586 12
461 509 95
582 334 18
695 604 79
212 721 63
440 7 4
408 913 1
786 425 55
980 499 63
754 946 21
639 895 90
970 317 75
399 389 24
504 274 19
332 603 49
214 313 80
446 784 2
489 334 97
765 946 99
611 74 5
978 447 74
235 396 55
516 754 18
502 797 13
246 574 79
884 543 13
698 412 30
429 27 15
975 764 53
265 496 36
459 250 98
703 757 65
40 845 96
821 141 65
664 705 20
901 927 8
457 399 34
860 717 36
687 719 76
138 378 9
420 884 4
661 175 57
59 72 81
777 290 35
131 825 41
518 676 5
329 817 90
15 112 30
253 669 42
883 2 18
211 165 62
441 350 5
857 351 6
24 647 46
428 567 8
128 924 68
589 72 67
624 911 60
262 311 39
494 795 62
707 446 19
21 438 7
984 841 13
263 874 24
769 184 16
523 795 20
955 501 56
986 436 4
843 850 100
150 523 39
25 107 92
140 145 18
367 534 53
549 374 86
636 24 94
943 574 93
547 769 40
594 521 40
130 796 8
520 214 6
748 328 66
527 793 91
979 764 2
743 523 28
670 594 94
124 435 6
194 783 22
674 271 90
921 721 91
969 536 51
893 378 28
155 899 48
4 268 92
714 757 69
377 327 98
645 692 21
182 156 7
789 784 7
407 664 97
323 765 57
916 303 12
80 314 79
229 516 77
750 429 29
738 162 36
882 271 43
225 457 36
443 965 22
415 823 15
78 658 39
615 131 44
932 355 57
416 501 36
47 789 32
713 77 72
937 703 89
612 329 76
93 518 62
565 141 34
982 74 22
671 828 55
190 351 70
544 594 91
581 151 83
894 647 72
28 458 4
395 764 36
989 428 97
236 806 61
790 563 50
591 911 7
910 425 33
812 907 56
199 438 99
481 733 52
61 713 97
775 984 11
833 538 16
962 414 24
585 63 60
992 262 77
12 604 65
132 518 80
875 787 85
344 790 29
470 351 49
896 261 62
69 703 3
865 818 30
221 165 77
397 956 51
881 894 44
195 549 1
702 564 25
38 796 27
637 283 100
411 15 36
623 745 55
577 565 55
166 207 30
384 451 94
900 301 61
741 982 10
672 869 87
618 528 64
321 632 94
622 669 7
203 226 32
649 72 37
209 733 5
363 869 60
475 61 4
319 384 38
677 901 100
613 397 18
832 697 35
665 6 58
383 793 82
135 661 46
213 871 4
247 6 10
480 509 77
191 221 29
488 594 28
938 509 38
111 332 56
858 488 3
277 344 68
32 122 98
386 894 42
278 156 76
751 637 62
889 751 18
503 130 68
792 64 66
99 113 7
598 262 78
171 901 70
48 301 32
103 546 94
758 2 53
448 82 58
105 247 65
580 793 79
160 962 74
16 678 39
366 61 13
530 882 16
302 372 42
770 408 71
941 799 50
635 223 100
85 250 14
652 447 45
506 783 20
419 705 38
999 806 15
519 436 40
81 354 1
576 893 2
83 570 12
736 992 89
898 155 85
73 678 27
968 416 73
578 207 48
168 66 71
662 389 17
338 875 11
471 858 19
427 578 5
985 518 9
423 842 10
734 570 8
192 489 24
492 156 68
114 182 81
331 103 87
749 111 17
200 459 91
782 854 96
846 374 65
14 88 60
655 745 17
361 985 37
349 250 30
472 644 24
376 268 10
870 974 74
588 451 63
240 74 72
230 97 9
904 908 89
686 946 52
839 951 56
360 329 7
188 88 71
469 583 83
152 509 5
294 952 82
58 151 20
990 166 47
856 809 8
108 850 50
52 80 25
551 191 21
257 581 39
710 502 51
312 549 63
206 311 42
154 896 42
305 757 88
307 69 6
219 567 10
682 992 83
668 93 80
421 896 15
342 843 70
994 152 97
432 665 29
616 77 53
810 551 7
267 501 93
201 150 35
316 842 88
711 860 76
178 809 95
569 670 45
648 81 73
762 547 63
71 697 53
808 975 44
373 132 39
62 158 7
730 736 92
92 664 26
233 707 99
820 604 23
256 211 60
656 901 11
634 481 9
68 407 5
273 506 84
215 721 15
912 128 67
688 871 88
260 670 67
949 820 46
931 589 12
675 182 22
537 14 24
811 278 73
241 180 55
330 313 94
102 623 2
961 194 15
217 344 63
708 881 43
960 868 88
629 979 61
621 443 90
115 107 78
593 817 86
169 962 53
844 191 86
626 585 76
279 632 53
903 366 79
437 954 36
510 809 17
30 577 6
96 910 51
620 515 57
34 809 93
513 563 99
208 25 96
573 32 84
917 166 22
683 813 36
739 595 33
642 733 77
640 741 7
752 112 15
431 74 32
557 150 84
179 692 94
390 175 29
646 498 13
353 902 66
139 889 67
231 351 86
364 204 47
873 329 37
123 522 82
357 990 99
109 62 23
385 544 24
218 412 56
788 131 83
942 403 59
183 506 89
31 471 31
819 616 73
185 502 72
953 571 5
742 415 25
20 155 16
744 986 3
333 49 3
993 557 52
259 4 51
816 202 99
22 969 12
54 801 20
335 259 52
442 739 68
222 665 40
289 761 6
405 879 56
149 941 42
76 649 67
181 798 54
55 407 49
1 253 15
950 130 24
430 782 66
997 492 26
280 955 88
715 173 77
774 67 1
491 999 30
119 794 41
320 461 53
680 769 17
829 870 33
336 157 11
778 100 40
957 364 56
780 725 77
174 167 72
540 73 73
890 151 10
228 355 2
723 741 95
104 458 7
26 461 49
566 414 46
525 885 7
630 752 67
456 521 78
803 184 77
477 384 16
198 957 3
998 38 74
704 24 29
153 510 58
60 430 62
293 250 50
673 203 42
964 427 87
972 93 29
699 536 82
39 668 59
454 185 73
426 263 83
923 481 19
867 438 59
926 963 53
46 24 26
50 695 88
98 69 80
297 60 72
467 994 3
760 222 16
981 22 51
164 762 53
922 870 73
561 396 58
343 988 69
694 38 80
768 978 93
977 253 22
690 582 27
35 576 65
681 537 59
197 595 2
309 153 82
455 850 66
298 313 43
43 420 35
531 840 7
826 371 96
29 319 69
554 971 79
724 469 32
925 83 19
614 21 25
381 671 53
101 32 57
315 946 40
296 904 7
127 413 36
232 419 44
401 467 22
545 904 52
880 126 86
605 950 4
592 467 29
627 738 9
394 165 83
731 92 97
340 152 80
948 747 39
628 569 51
568 796 22
939 756 51
220 346 29
379 274 10
13 367 73
838 616 29
393 185 76
300 472 3
609 740 58
19 926 31
417 703 95
75 925 84
533 925 67
264 889 87
877 509 98
95 790 39
847 68 61
657 702 54
619 903 75
966 869 4
679 763 73
18 901 45
918 733 11
650 371 45
493 664 23
196 355 15
299 199 17
41 389 40
359 94 94
685 740 93
306 122 32
663 527 23
830 694 6
887 211 60
709 22 47
276 475 39
476 803 68
667 962 74
65 549 27
602 366 55
878 323 49
110 987 61
542 12 56
487 304 69
807 132 27
251 327 45
51 961 98
227 219 70
720 208 45
483 76 54
79 504 46
3 61 33
548 321 7
822 502 75
468 398 66
696 261 63
242 725 71
172 140 52
91 372 84
824 577 45
347 58 93
410 885 20
556 157 99
402 188 8
727 67 19
392 833 95
722 748 8
920 598 99
270 43 57
409 76 77
117 231 42
144 441 48
275 544 90
474 321 32
325 432 21
254 574 99
486 371 100
136 782 18
933 91 58
249 908 57
33 199 39
495 680 88
526 667 53
716 788 1
53 536 42
176 15 71
86 486 8
625 993 2
370 873 52
484 408 66
308 900 19
